#\ title = 
#\ xlabel = $M_{\pi^{+},\pi^{-},\pi^{0}}$
#\ ylabel = $M_{\pi^{+},\pi^{-},\eta}$
#\ zlabel = content
#\ nbins_x = 100
#\ nbins_y = 50
#\ x_edge_min = 0.41999999999999993
#\ y_edge_min = 0.9
#\ x_bin_width  = 0.009600000000000053
#\ y_bin_width  = 0.0023999999999999577
#! x_bin_center[f,0]/ y_bin_center[f,1]/ bin_content[f,2]/ bin_error[f,3]/ i_x[i,4]/ i_y[i,5]/  
 0.42479999999999996 0.9564 1.0 1.0  0 23 
  0.4344 0.9516 1.0 1.0  1 21 
  0.4344 0.9564 2.0 1.4142135623730951  1 23 
  0.4344 0.9588 1.0 1.0  1 24 
  0.4344 0.9611999999999999 1.0 1.0  1 25 
  0.44399999999999995 0.942 1.0 1.0  2 17 
  0.44399999999999995 0.9468 1.0 1.0  2 19 
  0.44399999999999995 0.9516 1.0 1.0  2 21 
  0.44399999999999995 0.954 2.0 1.4142135623730951  2 22 
  0.44399999999999995 0.9564 5.0 2.23606797749979  2 23 
  0.44399999999999995 0.9588 1.0 1.0  2 24 
  0.44399999999999995 0.9611999999999999 5.0 2.23606797749979  2 25 
  0.44399999999999995 0.9636 2.0 1.4142135623730951  2 26 
  0.44399999999999995 0.966 2.0 1.4142135623730951  2 27 
  0.44399999999999995 0.9684 1.0 1.0  2 28 
  0.44399999999999995 0.978 1.0 1.0  2 32 
  0.44399999999999995 0.9876 1.0 1.0  2 36 
  0.4536 0.9396 1.0 1.0  3 16 
  0.4536 0.9468 2.0 1.4142135623730951  3 19 
  0.4536 0.9492 1.0 1.0  3 20 
  0.4536 0.9516 2.0 1.4142135623730951  3 21 
  0.4536 0.954 3.0 1.7320508075688772  3 22 
  0.4536 0.9564 6.0 2.449489742783178  3 23 
  0.4536 0.9588 2.0 1.4142135623730951  3 24 
  0.4536 0.9611999999999999 3.0 1.7320508075688772  3 25 
  0.4536 0.9636 3.0 1.7320508075688772  3 26 
  0.4536 0.966 2.0 1.4142135623730951  3 27 
  0.4536 0.9708 1.0 1.0  3 29 
  0.46319999999999995 0.9348 1.0 1.0  4 14 
  0.46319999999999995 0.942 1.0 1.0  4 17 
  0.46319999999999995 0.9444 1.0 1.0  4 18 
  0.46319999999999995 0.9468 4.0 2.0  4 19 
  0.46319999999999995 0.9492 2.0 1.4142135623730951  4 20 
  0.46319999999999995 0.9516 4.0 2.0  4 21 
  0.46319999999999995 0.954 3.0 1.7320508075688772  4 22 
  0.46319999999999995 0.9564 2.0 1.4142135623730951  4 23 
  0.46319999999999995 0.9588 9.0 3.0  4 24 
  0.46319999999999995 0.9611999999999999 2.0 1.4142135623730951  4 25 
  0.46319999999999995 0.9636 7.0 2.6457513110645907  4 26 
  0.46319999999999995 0.966 4.0 2.0  4 27 
  0.46319999999999995 0.9684 2.0 1.4142135623730951  4 28 
  0.46319999999999995 0.9732 1.0 1.0  4 30 
  0.46319999999999995 0.9756 2.0 1.4142135623730951  4 31 
  0.46319999999999995 0.99 1.0 1.0  4 37 
  0.4728 0.9444 1.0 1.0  5 18 
  0.4728 0.9468 1.0 1.0  5 19 
  0.4728 0.9492 3.0 1.7320508075688772  5 20 
  0.4728 0.9516 5.0 2.23606797749979  5 21 
  0.4728 0.954 6.0 2.449489742783178  5 22 
  0.4728 0.9564 7.0 2.6457513110645907  5 23 
  0.4728 0.9588 3.0 1.7320508075688772  5 24 
  0.4728 0.9611999999999999 6.0 2.449489742783178  5 25 
  0.4728 0.9636 5.0 2.23606797749979  5 26 
  0.4728 0.9684 1.0 1.0  5 28 
  0.4728 0.9708 1.0 1.0  5 29 
  0.4728 0.9732 1.0 1.0  5 30 
  0.4728 0.9756 1.0 1.0  5 31 
  0.48239999999999994 0.93 1.0 1.0  6 12 
  0.48239999999999994 0.9492 1.0 1.0  6 20 
  0.48239999999999994 0.9516 6.0 2.449489742783178  6 21 
  0.48239999999999994 0.954 7.0 2.6457513110645907  6 22 
  0.48239999999999994 0.9564 11.0 3.3166247903554  6 23 
  0.48239999999999994 0.9588 7.0 2.6457513110645907  6 24 
  0.48239999999999994 0.9611999999999999 7.0 2.6457513110645907  6 25 
  0.48239999999999994 0.9636 4.0 2.0  6 26 
  0.48239999999999994 0.966 5.0 2.23606797749979  6 27 
  0.48239999999999994 0.9684 2.0 1.4142135623730951  6 28 
  0.48239999999999994 0.9708 2.0 1.4142135623730951  6 29 
  0.48239999999999994 0.9756 2.0 1.4142135623730951  6 31 
  0.48239999999999994 0.978 2.0 1.4142135623730951  6 32 
  0.48239999999999994 0.9852 1.0 1.0  6 35 
  0.492 0.9012 1.0 1.0  7 0 
  0.492 0.93 1.0 1.0  7 12 
